type,name,age,breed,size,weight,dogs,cats,kids,energy,affection,new_people,training,image_url
Cat,Sweet Pea,5,Domestic Medium Hair,,4,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/ab746915d19838414c8e547a2d127e2b/0138d10c46b85ec2c681e4621348c5f5.jpg
Dog,Leela,3,Mixed Breed (Medium),,17.4,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/public/img/profile_photo/default_dog.png
Cat,Julia,2,Domestic Shorthair,,1.5,2,2,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/e2da586a570815d6d07fbb3bac9f3a9b/1d0f78ae9cfc6e9f44a574fba0422b93.jpg
Cat,Elm,2,Domestic Shorthair,,0.9877,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/4596d7da793887be7c35789410311873/3426aa6be11f70a1103e22ad421edf9c.jpg
Cat,Baldwin,2,Domestic Shorthair,,1.45,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/7457ee96d8ab160a8662f7cccdc081ff/f62d01fbb511e374c14f0b3725e3dbc8.jpg
Cat,Maggie,2,Domestic Shorthair,,1.06,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/2a546336e4e4ce8b895993290051104d/ef793759a15642edf71cfe73c6b28faf.jpeg
Cat,Toeby,2,Domestic Shorthair,,0.76,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/d063fd8fb7c734f0f35833c1db02ded7/c1037d78e38820f84edc17f07335d9a8.jpeg
Cat,Wheezy,14,Domestic Shorthair,,9.02,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/cedac45aa78f68e550540b1ae694a63a/e11954255cc27f860576d9a5e8c50198.JPG
Dog,Stella,3,Mixed Breed (Small),,5.3,5,1,2,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/ec6f7a564cc184414bf32c4d4ce9e91f/6f567ce33372fa6429bd33e466208738.jpg
Cat,Cloud,2,Domestic Shorthair,,1.39,2,3,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/36e4bcb5a9e92ad3ffd57a4a5d26b47b/0c8f55c5a884a4e4cf25798081b32a2a.jpg
